Indoor Catalogue Seeding Report
============================================================

Total products to process: 360
============================================================
  SKIP: ARC Shape Table (LF 7021) - already exists
  [IMG] CREATED: Premium Shelf Unit Wide                                 | SKU=LF 1455         | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Premium Shelf Unit Narrow                               | SKU=LF 1456         | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Premium Display Shelf                                   | SKU=LF 1501         | Rs. 9990.00 | [OK]
  [IMG] CREATED: Premium Display Shelf Style 2                           | SKU=LF 1503         | Rs. 9990.00 | [OK]
  [IMG] CREATED: Premium Display Shelf Style 3                           | SKU=LF 1502         | Rs. 9990.00 | [OK]
  [IMG] CREATED: Premium Tall Display Shelf                              | SKU=LF 1504         | Rs. 9990.00 | [OK]
  [IMG] CREATED: Premium Storage Unit                                    | SKU=LF 1458         | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Premium Extra Long Shelf                                | SKU=LF 1459         | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Premium Shelf Unit Standard                             | SKU=LF 1457         | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Sports Activity Carpet                                  | SKU=LF 0701         | Rs.24990.00 | [OK]
  [IMG] CREATED: Alphabet Activity Carpet                                | SKU=LF 0702         | Rs.24990.00 | [OK]
  [IMG] CREATED: Space Activity Carpet                                   | SKU=LF 0703         | Rs.24990.00 | [OK]
  [IMG] CREATED: Numbers Activity Carpet                                 | SKU=LF 0704         | Rs.24990.00 | [OK]
  [IMG] CREATED: Shapes Activity Carpet                                  | SKU=LF 0705         | Rs.24990.00 | [OK]
  [IMG] CREATED: Single Seater Dolphin Desk                              | SKU=LF 401          | Rs. 3790.00 | [OK]
  [IMG] CREATED: Single Seater Giraffe Desk                              | SKU=LF 402          | Rs. 3790.00 | [OK]
  [IMG] CREATED: Double Seater Dolphin Desk                              | SKU=LF 411          | Rs. 5990.00 | [OK]
  [IMG] CREATED: Double Seater Giraffe Desk                              | SKU=LF 412          | Rs. 5990.00 | [OK]
  [IMG] CREATED: Soft Seating Rectangle                                  | SKU=LF 1481         | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Soft Seating Square Small                               | SKU=LF 1482         | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Soft Seating Square Medium                              | SKU=LF 1483         | Rs.    0.00 | [PRICE MISSING]
